The sum: 1499950.000000
The list edges: 
1168 873 50.000000
237 1168 50.000000
143 237 50.000000
92 143 50.000000
187 92 50.000000
433 92 50.000000
531 1168 50.000000
720 237 50.000000
939 1168 50.000000
73 939 50.000000
330 939 50.000000
467 330 50.000000
393 467 50.000000
989 939 50.000000
780 989 50.000000
1013 237 50.000000
733 1013 50.000000
1032 237 50.000000
1170 425 50.000000
1172 1008 50.000000
1174 678 50.000000
692 1174 50.000000
466 692 50.000000
105 466 50.000000
691 692 50.000000
108 691 50.000000
941 691 50.000000
1178 485 50.000000
1181 116 50.000000
716 1181 50.000000
301 716 50.000000
177 301 50.000000
1185 734 50.000000
404 1185 50.000000
121 404 50.000000
261 121 50.000000
191 261 50.000000
497 121 50.000000
504 121 50.000000
506 504 50.000000
584 504 50.000000
615 404 50.000000
769 584 50.000000
983 506 50.000000
991 769 50.000000
6 991 50.000000
27 991 50.000000
208 27 50.000000
230 991 50.000000
766 27 50.000000
525 766 50.000000
366 525 50.000000
358 366 50.000000
145 358 50.000000
778 230 50.000000
999 769 50.000000
986 999 50.000000
1097 1185 50.000000
311 1097 50.000000
818 1097 50.000000
753 818 50.000000
907 311 50.000000
876 907 50.000000
1047 1097 50.000000
1099 208 50.000000
423 1099 50.000000
579 1099 50.000000
950 579 50.000000
1171 584 50.000000
771 1171 50.000000
1188 1052 50.000000
980 1188 50.000000
88 980 50.000000
246 88 50.000000
408 980 50.000000
499 88 50.000000
545 246 50.000000
1021 408 50.000000
1191 457 50.000000
1193 711 50.000000
175 1193 50.000000
490 1193 50.000000
375 490 50.000000
591 490 50.000000
616 175 50.000000
741 375 50.000000
938 616 50.000000
577 938 50.000000
642 577 50.000000
883 642 50.000000
963 616 50.000000
1135 591 50.000000
308 1135 50.000000
235 308 50.000000
346 1135 50.000000
567 235 50.000000
721 567 50.000000
1118 235 50.000000
1146 490 50.000000
1196 681 50.000000
18 1196 50.000000
139 18 50.000000
217 139 50.000000
449 18 50.000000
248 449 50.000000
837 217 50.000000
809 837 50.000000
652 809 50.000000
800 809 50.000000
382 800 50.000000
